"litter_id","color","gender","birth_weight","weight_1_week","weight_2_week","weight_3_week","weight_4_week","weight_5_week","weight_6_week","weight_7_week","weight_8_week","id"
1,"blond","M",500,NULL,1130,1930,3450,4000,4400,NULL,NULL,1
1,"czarna podpalana","M",590,NULL,830,1400,2450,2850,3500,5100,NULL,2
1,"blond","F",530,NULL,1130,1610,2950,3200,4000,5100,NULL,3
1,"blond","M",600,NULL,1150,1720,2950,3150,4100,NULL,NULL,4
1,"blond","M",500,NULL,650,1100,1950,2150,2750,3500,NULL,5
2,"blond","F",480,690,1100,1720,2400,3350,4600,6300,NULL,6
2,"czarna podpalana","F",480,600,1010,1660,2250,3150,4500,5800,NULL,7
2,"blond","M",500,500,960,1500,2100,2800,4100,5300,NULL,8
2,"blond","F",500,600,1040,1660,2400,3150,4250,5400,NULL,9
2,"blond","F",450,630,1050,1700,2400,3350,4400,5900,NULL,10
2,"czarna podpalana","M",500,680,1000,1550,2250,3000,4400,6500,NULL,11
2,"blond","F",450,660,1050,1540,2200,2850,4200,6000,NULL,12
2,"blond","F",450,640,1100,1680,2400,3100,4600,6000,NULL,13
2,"blond","F",440,620,1000,1530,2100,3000,4600,5900,NULL,14
2,"blond","F",480,570,1000,1560,2000,2950,4250,NULL,NULL,15
3,"blond","F",NULL,5100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16
3,"czarna podpalana","F",NULL,8600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17
3,"blond","M",NULL,7300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18
3,"blond","M",NULL,5300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19
3,"blond","M",NULL,5300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20
3,"blond","F",NULL,6500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21
4,"blond","F",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22
4,"czarna podpalana","F",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23
4,"czarna podpalana","M",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24
4,"blond","M",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25
4,"blond","F",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26
5,"czarna podpalana","F",480,690,12010,1800,2760,3700,NULL,NULL,NULL,27
5,"czarna podpalana","M",490,740,1290,1880,2900,3800,NULL,NULL,NULL,28
5,"czarna podpalana","F",430,630,1150,1650,2570,3450,NULL,NULL,NULL,29
5,"blond","F",470,730,1290,1900,2680,3550,NULL,NULL,NULL,30
5,"blond","M",500,750,1300,1880,2890,4000,NULL,NULL,NULL,31
5,"blond","F",530,800,1290,1920,2910,3800,NULL,NULL,NULL,32
5,"czarna podpalana","F",500,620,1100,1750,2530,3000,NULL,NULL,NULL,33
5,"blond","F",480,680,1260,1900,2760,3750,NULL,NULL,NULL,34
5,"czarna podpalana","M",540,790,1420,2040,3050,4150,NULL,NULL,NULL,35
5,"blond","F",520,720,1370,1930,2990,3950,NULL,NULL,NULL,36
5,"blond","F",490,660,1250,1750,2660,3600,NULL,NULL,NULL,37
5,"czarna podpalana","F",540,780,1370,2000,3080,4250,NULL,NULL,NULL,38
6,"blond","M",580,1000,1500,2540,3350,4150,5300,7000,NULL,39
6,"czarna podpalana","M",660,1030,1570,2730,345,4300,5500,7300,NULL,40
6,"blond","F",640,880,1440,2280,3090,3750,4700,6200,NULL,41
6,"czarna podpalana","M",500,770,1160,1810,2500,3100,3900,5500,NULL,42
6,"czarna podpalana","M",670,1030,1520,2590,3250,4100,4650,6800,NULL,43
6,"czarna podpalana","M",580,960,1500,2420,3300,3950,5100,7000,NULL,44
6,"blond","M",580,880,1380,2280,3000,3700,4400,6600,NULL,45
6,"czarna podpalana","F",550,840,1300,2280,2830,3400,4500,6500,NULL,46
6,"czarna podpalana","F",580,820,1310,2110,2750,3400,4200,6200,NULL,47
6,"czarna podpalana","F",600,880,1450,2310,3000,3650,4500,6500,NULL,48
6,"blond","F",570,890,1430,2440,3130,3800,4500,6400,NULL,49
6,"czarna podpalana","F",620,900,1460,2320,2950,3750,4550,6500,NULL,50
7,"blond","M",500,950,1500,2060,3400,3800,NULL,5900,NULL,51
7,"czarna podpalana","F",530,850,1200,1820,3000,3600,NULL,5150,NULL,52
7,"czarna podpalana","M",540,970,1120,1560,3400,3500,NULL,5050,NULL,53
7,"czarna podpalana","F",560,NULL,1250,1900,3000,3650,NULL,5250,NULL,54
7,"blond","M",770,1180,1600,2600,3750,4800,NULL,6750,NULL,55
7,"czarna podpalana","M",670,1000,1500,2260,3500,3650,NULL,5800,NULL,56
7,"blond","F",670,780,1160,1500,2670,2920,NULL,4150,NULL,57
7,"czarna podpalana","M",720,880,1120,1600,2650,3220,NULL,5200,NULL,58
7,"czarna podpalana","M",550,790,1500,2060,2760,2960,NULL,4950,NULL,59
7,"czarna podpalana","M",600,980,1500,2180,3320,3850,NULL,5800,NULL,60
7,"blond","F",640,1000,1420,2250,3500,3650,NULL,5650,NULL,61
8,"blond","F",400,610,980,1480,2120,3120,4000,NULL,6600,62
8,"blond","M",550,860,1300,1620,2350,3500,4300,NULL,7200,63
8,"czarna podpalana","M",550,970,1210,1620,2450,3660,4760,NULL,8000,64
8,"czarna podpalana","M",520,870,1400,1900,2750,4080,5050,NULL,7500,65
8,"blond","M",570,1090,1500,2460,3280,4670,5800,NULL,NULL,66
8,"czarna podpalana","M",570,1010,1630,2440,3350,4720,5250,NULL,9200,67
8,"blond","M",450,1110,1570,2330,3210,4580,5400,NULL,8500,68
8,"blond","F",490,870,1210,1830,2350,3810,4950,NULL,7900,69
8,"blond","M",550,850,1240,2000,2820,4080,4900,NULL,8200,70
8,"blond","M",550,950,1400,2040,2900,4330,5200,NULL,8700,71
9,"czarna podpalana","M",545,620,1000,1500,2300,3150,4150,NULL,6550,72
9,"blond","F",485,540,750,1150,1850,2500,3500,NULL,6100,73
9,"czarna podpalana","M",500,620,1200,2020,2700,3600,4750,NULL,7650,74
9,"blond","F",470,510,780,1240,1600,2450,3600,NULL,6000,75
9,"czarna podpalana","M",425,580,870,1450,2300,3050,4200,NULL,6750,76
9,"czarna podpalana","F",470,630,1000,1600,2350,2900,4000,NULL,6000,77
9,"czarna podpalana","F",496,630,940,1500,2300,2900,4050,NULL,6350,78
9,"czarna podpalana","M",500,630,920,1500,2450,3300,4700,NULL,7850,79
9,"blond","M",456,630,1200,1750,2600,3500,4700,NULL,7200,80
9,"czarna podpalana","F",475,580,1000,1550,2200,3000,4350,NULL,6500,81
11,"czarna podpalana","M",570,950,1880,NULL,NULL,NULL,NULL,NULL,6000,82
11,"blond","M",440,680,1420,NULL,NULL,NULL,NULL,NULL,5500,83
11,"czarna podpalana","M",400,730,1450,NULL,NULL,NULL,NULL,NULL,6000,84
11,"blond","F",350,690,1450,NULL,NULL,NULL,NULL,NULL,6000,85
11,"czarna podpalana","F",350,690,1300,NULL,NULL,NULL,NULL,NULL,5300,86
11,"blond","M",350,710,1350,NULL,NULL,NULL,NULL,NULL,5100,87
12,"czarna podpalana","M",600,1080,1750,2330,3000,4200,NULL,7200,NULL,88
12,"czarna podpalana","F",530,740,1220,1570,2250,3150,NULL,5200,NULL,89
12,"czarna podpalana","M",410,680,1300,1770,2490,3650,NULL,6300,NULL,90
12,"czarna podpalana","M",590,880,1450,2130,2790,4000,NULL,6600,NULL,91
12,"czarna podpalana","F",610,1000,1650,2100,2850,3800,NULL,6200,NULL,92
12,"czarna podpalana","M",610,740,1250,1650,2360,3300,NULL,5500,NULL,93
12,"blond","M",570,900,1580,2070,2950,3950,NULL,6800,NULL,94
13,"blond","M",530,880,NULL,NULL,3000,NULL,NULL,NULL,6700,95
13,"blond","M",530,900,NULL,NULL,3150,NULL,NULL,NULL,7000,96
13,"czarna","F",560,890,NULL,NULL,3450,NULL,NULL,NULL,7700,97
13,"czarna podpalana","F",520,890,NULL,NULL,3250,NULL,NULL,NULL,6300,98
13,"czarna","M",570,890,NULL,NULL,6500,NULL,NULL,NULL,7500,99
13,"czarna","M",600,890,NULL,NULL,3300,NULL,NULL,NULL,NULL,100
14,"czarna podpalana","F",600,1350,1800,2500,3180,4450,NULL,NULL,NULL,101
14,"blond","M",600,1240,1650,2050,3000,4450,NULL,NULL,NULL,102
14,"blond","F",600,1240,1650,2300,2880,4450,NULL,NULL,NULL,103
15,"blond","F",580,900,1220,1980,2900,3200,NULL,5000,NULL,104
15,"czarna","M",650,900,1260,1980,2700,3120,NULL,4350,NULL,105
15,"czarna podpalana","F",620,780,100,1630,2350,2620,NULL,4450,NULL,106
15,"czarna","M",630,870,1260,1950,2300,3000,NULL,4300,NULL,107
15,"blond","F",650,790,1110,1680,2370,3180,NULL,5100,NULL,108
15,"blond","M",620,750,1030,1640,2130,2400,NULL,4000,NULL,109
16,"czarna","M",490,670,950,1260,1654,NULL,3080,NULL,NULL,110
16,"czarna podpalana","F",400,510,735,1020,1420,NULL,3050,NULL,NULL,111
16,"czarna podpalana","M",500,710,997,1300,1700,NULL,2850,NULL,NULL,112
16,"czarna","F",500,650,930,1260,1680,NULL,3540,NULL,NULL,113
16,"czarna podpalana","M",500,660,996,1324,1730,NULL,2930,NULL,NULL,114
16,"czarna","F",450,660,920,1240,1690,NULL,3380,NULL,NULL,115
16,"czarna podpalana","F",510,660,1010,1330,1724,NULL,3550,NULL,NULL,116
16,"blond","M",450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,117
17,"czarna podpalana","F",460,802,1032,1310,1650,2330,NULL,NULL,NULL,118
17,"czarna podpalana","M",496,812,1050,1370,1860,2450,NULL,NULL,NULL,119
17,"czarna podpalana","M",440,716,924,1180,1680,2350,NULL,NULL,NULL,120
17,"czarna podpalana","M",560,826,1064,1420,1720,2410,NULL,NULL,NULL,121
17,"czarna podpalana","F",505,782,944,1250,1740,2470,NULL,NULL,NULL,122
17,"czarna podpalana","F",360,680,834,1110,1420,2090,NULL,NULL,NULL,123
17,"czarna podpalana","F",460,786,1020,1330,2000,2460,NULL,NULL,NULL,124
17,"czarna podpalana","F",540,924,1250,1570,2170,2690,NULL,NULL,NULL,125
18,"czarna podpalana","M",636,976,1430,1720,2160,NULL,3470,5560,NULL,126
18,"czarna podpalana","F",618,940,1400,1570,1960,NULL,3400,5340,NULL,127
18,"czarna podpalana","M",638,982,1470,1780,2290,NULL,3750,5710,NULL,128
18,"czarna podpalana","M",606,1020,1480,1810,2310,NULL,3840,5700,NULL,129
18,"czarna podpalana","M",642,978,1490,1790,2260,NULL,3650,5640,NULL,130
18,"czarna podpalana","F",596,968,1420,1790,2340,NULL,3850,5570,NULL,131
19,"czarna podpalana","M",575,1100,1560,2034,3540,NULL,5670,NULL,8200,132
20,"czarna podpalana","F",502,814,1180,1720,1380,3340,NULL,NULL,NULL,133
20,"czarna podpalana","M",502,774,1210,1740,2290,3300,NULL,NULL,NULL,134
20,"czarna podpalana","F",490,806,1250,1830,2550,3410,NULL,NULL,NULL,135
20,"czarna podpalana","F",448,774,1110,1630,2290,3050,NULL,NULL,NULL,136
20,"czarna podpalana","F",510,856,1280,1810,2390,3230,NULL,NULL,NULL,137
20,"czarna podpalana","F",440,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,138
20,"czarna podpalana","F",536,864,1320,1830,2560,3470,NULL,NULL,NULL,139
20,"czarna podpalana","F",544,880,1330,1860,2530,3550,NULL,NULL,NULL,140
21,"czarna","M",580,858,1280,1670,2480,2890,3960,4900,6850,141
21,"czarna podpalana","M",490,696,1100,1430,2060,2310,3060,3900,5800,142
21,"czarna podpalana","M",624,772,1200,1530,2400,2650,3660,4700,6400,143
21,"czarna podpalana","M",540,644,918,1160,1800,2200,2940,3700,5200,144
21,"blond","F",530,876,1418,1840,2910,3380,4410,5400,7400,145
21,"czarna","M",526,731,1030,1320,1910,2280,3170,4100,6080,146
